Data element,Period,OrganisationUnit,CategoryCombo,AttributeCombo,Value
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,45
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,12
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,12
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,51
,2018Q1,,,JVafaPfopJf,181
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,10
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,13
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,7
,2018Q1,,,JVafaPfopJf,16
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,16
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,10
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,16
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,48
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,16
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,10
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,15
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,46
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,5
,2018Q1,,,JVafaPfopJf,22
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,20
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,14
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,88
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,26
,2018Q1,,,JVafaPfopJf,10
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,10
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,2
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,6
,2018Q1,,,JVafaPfopJf,10
,2018Q1,,,JVafaPfopJf,52
,2018Q1,,,JVafaPfopJf,3
,2018Q1,,,JVafaPfopJf,0
,2018Q1,,,JVafaPfopJf,1
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,8
,2018Q1,,,JVafaPfopJf,4
,2018Q1,,,JVafaPfopJf,0
